"","Species","AVG_MXL","HdBd","PFiBd","PFlBl","CFdCPd"
"42","Cycleptus elongatus",4.54329478227,0.402767402,0.158177153,0.148441836,1.0766256376675
"43","Cyprinella lutrensis",2.30258509299405,0.458913598,0.206441166,0.192250141,1.4401934806566
"44","Cyprinella spiloptera",2.56494935746154,0.471444611,0.19916508,0.171389262,1.31282086894886
"45","Cyprinella venusta",2.99573227355399,0.586050109,0.215064726,0.157524414,1.30792959295982
"46","Cyprinus carpio",4.82028156560504,0.48104781,0.258020926,0.178656382,1.29119909866918
"47","Dicentrarchus labrax",4.62986279857846,0.588541396,0.364789342,0.128637131,1.2477821260976
"48","Dorosoma cepedianum",4.06044301054642,0.274628915,0.287958974,0.180492429,1.46208322640589
"49","Dorosoma petenense",3.13549421592915,0.422007702,0.248845828,0.182166943,1.30576195022797
"50","Esox americanus",3.6988297849671,0.681281248,0.155782649,0.088356048,1.17478782538875
"51","Esox lucius",4.97327950755249,0.673753952,0.130070594,0.102102069,1.39145550348183
"52","Esox masquinongy",5.21493575760899,0.546651367,0.072206675,0.091179772,1.31475366024182
"53","Etheostoma asprigene",2.09186406167839,0.580929901,0.416156702,0.214599498,1.02580500440687
"54","Etheostoma blennioides",2.89037175789616,0.690483337,0.508732519,0.284115291,1.14471566602133
"55","Etheostoma caeruleum",2.16332302566054,0.480023999,0.393179235,0.268192561,1.34899327498314
"56","Etheostoma exile",2.10413415427021,0.650242996,0.474544328,0.247037081,1.39334372635706
"57","Etheostoma flabellare",2.24070968927596,0.540387187,0.43230975,0.249783058,1.20275935128951
"58","Etheostoma nigrum",2.10413415427021,0.5100017,0.440641469,0.220234173,1.29199741534555
"59","Etheostoma zonale",2.17475172148416,0.5576203,0.410796087,0.227598296,1.30736888846099
"60","Fundulus diaphanus",2.39789527279837,0.594206939,0.424298036,0.167607131,1.12802935562296
"61","Fundulus notatus",2.19722457733622,0.516458401,0.397410717,0.162060352,1.10550651114135
"62","Fundulus zebrinus",2.19722457733622,0.578589273,0.412253291,0.135350486,0.999952754165707
"63","Gambusia affinis",1.79175946922805,0.545043593,0.464943633,0.203100698,1.05602647147124
"64","Gambusia holbrooki",1.68175857401373,0.464835915,0.480104957,0.198412574,1.15740925420057
"65","Gasterosteus aculeatus",2.4423470353692,0.570325752,0.488282703,0.167548242,1.60172067400305
"66","Glossamia aprion",3.25809653802148,0.510890354,0.428289487,0.214575982,1.25751606461579
"67","Gobio gobio",3.04452243772342,0.645405621,0.149628107,0.188987027,1.09203414806477
"68","Gobiomorphus australis",3.15700042115011,0.505361133,0.560039072,0.139461769,1.05573477363731
"69","Gymnocephalus cernua",3.30505352110925,0.622727598,0.365360471,0.178858492,1.60898473316388
"70","Hiodon alosoides",3.97029191355212,0.517107143,0.265329082,0.200002268,1.21125875619843
"71","Hiodon tergisus",3.87120101090789,0.476746011,0.232627095,0.173640555,1.22065773223237
"72","Hybognathus nuchalis",2.94443897916644,0.491360778,0.250028286,0.188111563,1.16074241883399
"73","Hybognathus placitus",2.63905732961526,0.492883701,0.265317769,0.159188858,1.10430817194902
"74","Hypentelium nigricans",4.12713438504509,0.736614661,0.197764496,0.199559643,1.26844145136612
"75","Hypophthalmichthys molitrix",4.69820505195528,0.395489567,0.313926665,0.208885865,1.28740373744453
"76","Hypophthalmichthys nobilis",4.85722767146694,0.509615052,0.329180245,0.205733211,1.34770240010055
"77","Ictalurus furcatus",5.11198778835654,0.459405325,0.382099991,0.141592322,1.63196194139457
"78","Ictalurus punctatus",4.89034912822175,0.461683521,0.324333682,0.140295608,1.43415976783292
"79","Ictiobus bubalus",4.72738781871234,0.423947788,0.110580351,0.175652372,1.31375724540951
"80","Ictiobus cyprinellus",4.82028156560504,0.57477517,0.156740724,0.233957069,1.23784708922988
"81","Ictiobus niger",4.82028156560504,0.583906342,0.161981981,0.170484405,1.3609857341191
"82","Labidesthes sicculus",2.63905732961526,0.644562285,0.528515611,0.157045455,1.51430968017632
"83","Leiopotherapon unicolor",3.52636052461616,0.504844262,0.315546989,0.210113596,1.18154488121439
"84","Lepisosteus oculatus",4.72738781871234,0.413609626,0.221032086,0.083093326,1.21653068819943
"85","Lepisosteus osseus",5.30330490805908,0.808904572,0.302211477,0.054895659,1.37768227483289
"86","Lepisosteus platostomus",4.48863636973214,0.425579107,0.305284434,0.102870247,1.2529385482232
"87","Lepomis cyanellus",3.46573590279973,0.550433201,0.302440833,0.211780812,1.25480754093194
"88","Lepomis gibbosus",3.61765194482557,0.494616905,0.318648272,0.250377931,1.22832276914609
"89","Lepomis gulosus",3.46573590279973,0.473128485,0.320984772,0.234362967,1.34251803184717
"90","Lepomis humilis",2.77258872223978,0.466819355,0.349184525,0.247897519,1.30951692696697
"91","Lepomis macrochirus",3.73766961828337,0.514919493,0.3382264,0.300838867,1.38027283758113
"92","Lepomis megalotis",3.2188758248682,0.551921871,0.360738285,0.255103837,1.29298979210798
