"","Species","EdHd","MoBd","JlHd","EhBd","BlBd"
"112","Misgurnus anguillicaudatus",0.235894757,0.158328947,NA,0.497109649,2.04825917986968
"113","Mogurnda adspersa",0.240054697,0.511360011,0.26969071879867,0.506177865,1.57082267789364
"114","Morone americana",0.408997653,0.347356224,0.454180748230907,0.472522853,1.31428173081876
"115","Morone chrysops",0.478349465,0.487330335,0.516893852169316,0.504293644,1.37424749084052
"116","Morone mississippiensis",0.470234413,0.328622174,0.404113222055192,0.501751373,1.36940315706501
"117","Morone saxatilis",0.295859905,0.613368246,0.535154805445299,0.645352095,1.49368423763135
"118","Moxostoma anisurum",0.329753812,0.14374685,0.160180184063477,0.51491424,1.55974729854147
"119","Moxostoma breviceps",0.419202938,0.103343724,0.247454401286408,0.4433117,1.61007987852976
"120","Moxostoma carinatum",0.413229411,0.168787245,0.192538672188975,0.515951514,1.493389860872
"121","Moxostoma duquesnii",0.292671671,0.219525207,0.169398973722197,0.603144172,1.65047540789236
"122","Moxostoma erythrurum",0.31061533,0.07719751,0.151032304745729,0.492648775,1.63928260429075
"123","Moxostoma macrolepidotum",0.331098905,0.162886286,0.132930579922712,0.427608303,1.61931416866262
"124","Mugil cephalus",0.526480263,0.55214628,0.285426240224422,0.613491776,1.54087000849279
"125","Nannoperca oxleyana",0.56081147,0.410945845,0.360549220029566,0.503428215,1.37874032711271
"126","Nematalosa erebi",0.342739726,0.481566147,0.248741867972263,0.547654316,1.20668103465734
"127","Neogobius melanostomus",0.297320611,0.543404063,0.402917335957937,0.730706368,1.61415128721065
"128","Nocomis biguttatus",0.25683832,0.309770115,0.323426345697724,0.561716547,1.51918119684349
"129","Nocomis micropogon",0.252472123,0.332189186,0.367834825762382,0.643583027,1.65408300202041
"130","Notemigonus crysoleucas",0.429694444,0.47798691,0.265278816109438,0.486819417,1.466575921189
"131","Notropis atherinoides",0.632200736,0.594858376,0.441366787305649,0.568281312,1.81285798558216
"132","Notropis blennius",0.555585648,0.360294118,0.362937799254495,0.485308824,1.68859357529199
"133","Notropis dorsalis",0.514020366,0.451298122,0.338252734165723,0.592741784,1.75022362119027
"134","Notropis girardi",0.463016082,0.271872316,0.376418786565951,0.470541834,1.66864536074613
"135","Notropis hudsonius",0.586121929,0.394397688,0.426719289233298,0.577618018,1.6744392852518
"136","Notropis photogenis",0.549783178,0.533865213,0.436553538577231,0.585904968,1.86618704598136
