"","Species","EdHd","MoBd","JlHd","EhBd","BlBd","HdBd","PFiBd","PFlBl","CFdCPd","Length","AVG_MXL","AVG_LMAT","AVG_AGEMAT","AVG_LONGY","AVG_FECUND","AVG_EGGSIZE","AVG_Troph","Tp_pref","Q_pref","number_nas","AVG_RGUILD_ORD"
"20","Anguilla reinhardtii",0.292541908,0.386335896,0.466002457096829,0.487382522,2.20001608544944,0.366791773,0.52447211,0.065195694,0,5.30330490805908,5.30330490805908,6.60800062529609,3.25809653802148,3.8286413964891,14.5086582385241,0.198850858745165,"Invertivore-piscivore",25.2,0.867100487683383,1,"1"
"21","Anguilla rostrata",0.31401802,0.152306862,0.724749823802753,0.32608484,2.86406304431223,0.393905601,0.577587199,0.037438892,0,5.03043792139244,4.72738781871234,6.25670927444083,2.56494935746154,3.93182563272433,14.1870748040517,0.548121408509688,"Invertivore-piscivore",27.51,2.15292431843964,1,NA
"22","Aphredoderus sayanus",0.321428571,0.572288456,0.25304903442587,0.581351168,1.43244554409665,0.542793448,0.409644276,0.179561218,1.22517501204647,2.70805020110221,2.70805020110221,3.58351893845611,1.09861228866811,1.79175946922805,4.98017608661155,0.854415328156068,"Invertivore-piscivore",28.24,2.25758772706331,0,"4"
"23","Aplodinotus grunniens",0.381944444,0.221978663,0.435336249269095,0.437381228,1.32744049195456,0.42003019,0.410993707,0.223393187,1.31749144114458,4.56434819146784,4.56434819146784,5.95842469302978,1.87180217690159,2.89037175789616,12.496878583629,0.8754687373539,"Invertivore-piscivore",28.19,4.17392562489244,0,"1"
"24","Arrhamphus sclerolepis",0.634146341,0.543557005,0.422985522024298,0.517951565,2.02674848281578,0.569009784,0.697411699,0.130548424,1.58412010444981,3.61091791264422,3.71357206670431,5.37527840768417,0.693147180559945,2.07944154167984,8.92279162396964,1.25276296849537,"Herbivore-detritivore",28.65,1.7281094421516,1,"1"
"25","Astyanax mexicanus",0.440611385,0.516996332,0.232824416953997,0.493886355,1.33595914420846,0.480657768,0.141085866,0.148993573,1.3816160167125,2.56494935746154,2.56494935746154,4.11087386417331,0.405465108108164,1.09861228866811,9.83708062033853,0.53062825106217,"Omnivore",29.32,2.45014265735166,0,"2"
"26","Atherina presbyter",0.550913043,0.772539198,0.429332589477072,0.725472123,0.525484968206431,NA,0.177388105,NA,NA,NA,3.04452243772342,3.71357206670431,0.916290731874155,1.6094379124341,5.41787660160568,1.09861228866811,"Invertivore",22.59,1.42069578783722,5,"1"
"27","Awaous acritosus",0.259216057,0.457224137,0.515204181675197,0.706078013,0.464325302394308,NA,0.139384604,NA,NA,NA,3.04452243772342,4.26267987704132,1.09861228866811,1.79175946922805,12.6115410869661,0.262364264467491,"Omnivore",27.37,1.19392246847243,5,"3"
"28","Barbatula barbatula",0.30066,0,NA,0.489219782,2.04435322970333,0.673763644,0,0.144789579,1.01334895423419,3.09104245335832,2.96181348035037,4.0342406381524,1.09861228866811,2.07944154167984,8.23924228388834,0.587786664902119,"Invertivore",20.5,2.09186406167839,1,"1"
"29","Barbatula quignardi",0.30066,0,NA,0.489219782,0.515074769745061,NA,0.144789579,NA,NA,NA,2.07944154167984,3.71357206670431,1.09861228866811,2.07944154167984,8.23924228388834,0.587786664902119,"Invertivore",22.32,1.91985947185537,5,"1"
"30","Barbus barbus",0.23787234,0,0.261316252417733,0.371264757,1.6230197398304,0.388291764,0.239724726,0.155661105,1.19532173268186,4.79579054559674,4.61512051684126,5.63835466933375,1.70474809223843,2.83321334405622,10.5023515257749,1.15373158788919,"Invertivore",21.23,2.72915916431245,0,"1"
"31","Barbus haasi",0.333333333,0.31583474,0.338232591287359,0.577246748,1.64490193922287,0.489902564,0.352392358,0.184914063,1.25279868214334,3.43398720448515,3.43398720448515,3.25809653802148,0.693147180559945,NA,8.5173931714189,NA,"Invertivore",24.62,1.37624402526639,2,"1"
"32","Barbus meridionalis",0.369288025,0.389645339,0.354171690211834,0.627147112,1.6918279506013,0.529538889,0.303137527,0.195501026,1.16606012676098,3.25809653802148,3.32143241319329,NA,1.25276296849537,NA,10.0513039272303,NA,"Omnivore",23.31,2.00012773496011,3,"1"
"33","Blicca bjoerkna",0.503950374,0.36573788,0.286138013756453,0.459238245,1.24870199216734,0.354092467,0.308156845,0.17880226,1.38616701626188,3.61091791264422,3.57422589154452,4.91265488573605,1.44691898293633,2.60268968544438,11.1936518603472,0.982078472412158,"Omnivore",20.95,2.33408376005342,0,"1"
"34","Campostoma anomalum",0.2304875,0.204529035,0.391433794695187,0.540899385,1.62331678279749,0.642188579,0.22954228,0.153619026,1.23921609686463,3.13549421592915,3.13549421592915,4.55912624748668,1.25276296849537,1.79175946922805,7.81439963380449,0.993251773010283,"Herbivore-detritivore",25.87,2.17247640764703,0,"2"
"35","Campostoma oligolepis",0.2075996,0.110064891,0.380904059179581,0.433969409,1.60919526279706,0.609792104,0.188743188,0.129409461,1.18451347206527,3.13549421592915,3.13549421592915,4.55387689160054,1.25276296849537,1.6094379124341,7.32052696227274,0.8754687373539,"Herbivore-detritivore",26.32,2.33601986908028,0,"2"
"36","Carassius auratus",0.27027027,0.327172908,0.227114036893689,0.42197838,1.29362942995838,0.396870089,0.238048758,0.175272227,1.10398546261274,4.0943445622221,4.04742764243435,4.89162650751405,1.25276296849537,2.75174805636793,12.2914900987313,0.908258560176891,"Omnivore",24.47,2.15755932094379,0,"2"
"37","Carassius carassius",0.324293648,0.459792912,0.245740892502092,0.532474758,1.12531655003157,0.381243561,0.267530394,0.185643105,0.970363302014336,4.17438726989564,4.04887637417495,4.56434819146784,1.17865499634165,2.60268968544438,11.0338649456342,0.871293365943419,"Omnivore",20.65,1.97823903617067,0,"1"
"38","Carassius gibelio",0.45980479,0.46399493,0.365421046336415,0.516476304,1.23498150893144,0.422883904,0.238702184,0.194932843,1.1322509379102,3.8286413964891,3.79172932072839,4.93985511203521,1.09861228866811,3.3499040872746,12.474830542484,0.746687947487975,"Omnivore",21.36,2.64119789411437,1,"1"
"39","Carpiodes carpio",0.324786325,0.144056636,0.325076661562721,0.383156927,1.46733888818937,0.407628577,0.157679095,0.167496868,1.28293085815973,4.17438726989564,4.17438726989564,5.67931900247783,1.6094379124341,2.484906649788,11.5129354649202,0.854415328156068,"Herbivore-detritivore",28.94,3.22684399451738,0,"1"
"40","Carpiodes cyprinus",0.345323741,0.152401953,0.211868718191046,0.438339662,1.37596268847268,0.489619365,0.092788153,0.191733432,1.32135264697761,4.20469261939097,4.20469261939097,5.62762111369064,1.6094379124341,2.56494935746154,12.1421659247647,0.993251773010283,"Herbivore-detritivore",26.05,3.70770120835452,1,"1"
"41","Carpiodes velifer",0.38966268,0.315598876,0.36183260252133,0.417264842,1.24014860055589,0.397542365,0.110083506,0.179895343,0.975359201395782,3.93182563272433,3.93182563272433,5.4380793089232,1.6094379124341,2.19722457733622,10.859008612902,0.78845736036427,"Herbivore-detritivore",27.63,3.70401434169821,0,"1"
"42","Catostomus commersonii",0.308510638,0.075563026,NA,0.500010462,1.70070161172237,0.65561422,0.171247829,0.186912394,1.26597312151001,4.18965474202643,4.17438726989564,5.83773044716594,1.32175583998232,2.89037175789616,11.2897944135779,1.22671229129543,"Omnivore",23.06,1.8961194845523,1,"1"
"43","Chelon labrosus",0.421724147,0.495619266,0.195343757030674,0.534372112,1.59303473265915,0.392515837,0.617923579,0.168065876,1.39739375605095,4.33073334028633,4.33073334028633,5.69035945432406,1.09861228866811,3.25809653802148,12.899222326087,0.832909122935104,"Omnivore",22.95,1.68639895357023,1,"1"
"44","Chelon ramada",0.333333333,0.623279002,0.307845073040999,0.52997701,1.67534938314493,0.439128975,0.573287182,0.140881139,1.30325167137168,4.26267987704132,4.14709512760763,5.56068163101553,1.09861228866811,2.39789527279837,12.6115410869661,0.46373401623214,"Omnivore",NA,NA,3,"1"
"45","Chondrostoma nasus",0.363636364,0.321312998,0.272979056162739,0.468442813,1.60128648483581,0.418782789,0.276320498,0.15578047,1.19807308213958,3.93182563272433,3.90534072866422,5.29204775353444,1.55814461804655,2.7408400239252,10.7218198611025,1.01160091167848,"Omnivore",21.65,2.99822915375258,0,"1"
"46","Cobitis taenia",0.286353167,0,NA,0.618919452,2.04770847137217,0.802443882,0.161490015,0.114149461,1.0982790664891,2.70805020110221,2.72457950305342,3.98898404656427,0.693147180559945,1.79175946922805,7.11151211649616,1.02245092770255,"Invertivore",21.62,2.18041745901984,1,"1"
"47","Coregonus albula",0.59387889,0.552868056,0.500659765482454,0.552868056,1.70100118242189,0.4445,0.267979167,0.150450051,1.36332228027804,3.8286413964891,3.80109144472086,5.14166355650266,1.09861228866811,2.39789527279837,9.0788263716182,0.871293365943419,"Invertivore",17.32,0.871293365943419,0,"1"
"48","Cottus bairdii",0.385627806,0.435251994,0.455983077175369,0.75187192,1.71572238920836,0.748890462,0.75187192,0.298745377,1.30183558909676,2.77258872223978,2.77258872223978,4.31748811353631,1.09861228866811,1.94591014905531,7.60140233458373,1.20896034583698,"Invertivore",21.56,1.83258146374831,0,"4"
"49","Cottus carolinae",0.538563346,0.358147097,0.563614506962837,0.663106033,1.72638541708721,0.692045246,0.59219103,0.286074536,1.19890577388224,2.94443897916644,2.94443897916644,4.66343909411207,1.09861228866811,1.94591014905531,6.54030823806149,1.17865499634165,"Invertivore",26.16,2.3494686788929,0,"4"
"50","Cottus gobio",0.402236592,0.5019123,0.398932925783497,0.702836958,1.94405503324868,0.779231573,0.497334468,0.229832325,1.30813755680385,2.94443897916644,2.89037175789616,3.90197266957464,0.916290731874155,2.01490302054226,6.0738046138302,1.22964055107451,"Invertivore",19.03,1.93730177451871,0,"4"
"51","Cottus poecilopus",0.329981551,0.433467825,0.625252189574439,0.680627033,1.77833032894475,0.730855531,0.467701429,0.25230542,1.28168195222707,2.77258872223978,2.77258872223978,4.11087386417331,1.09861228866811,2.01490302054226,5.52644845937329,1.38629436111989,"Invertivore",15.98,1.26412672714568,0,"4"
"52","Craterocephalus marjoriae",0.610774049,0.323849984,0.405307004943851,0.454902979,1.56924351988885,0.610609859,0.647504627,0.157448505,0.998008308663341,2.19722457733622,2.37024374146786,3.52636052461616,0.641853886172395,1.09861228866811,5.30330490805908,0.703097511413113,"Omnivore",26.95,0.908258560176891,1,"1"
"53","Craterocephalus stercusmuscarum",0.616854227,0.43639795,0.325154837198333,0.374733386,1.82602729571693,0.640040648,0.549330534,0.121343863,1.48532699421743,2.07944154167984,2.60268968544438,3.61091791264422,0.641853886172395,1.38629436111989,6.21660610108486,0.774727167552368,"Omnivore",30.49,1.8484548129046,0,"1"
"54","Ctenopharyngodon idella",0.332973401,0.498654092,0.404377591643108,0.519795173,1.61381314393456,0.364372974,0.304157707,0.191398274,1.21073572116394,5.01727983681492,4.99495973871082,6.39859493453521,1.94591014905531,3.07592881554827,13.7285002755195,0.867100487683383,"Herbivore-detritivore",25.94,2.78006073707848,0,"1"
"55","Cycleptus elongatus",0.274193548,0,0.19086026719216,0.314704258,1.65795983834515,0.402767402,0.158177153,0.148441836,1.0766256376675,4.54329478227,4.54329478227,6.35437004079735,1.87180217690159,2.63905732961526,11.6340318610306,1.16315080980568,"Omnivore",29.01,4.5569248733601,0,"1"
"56","Cyprinella galactura",0.405388971,0.389543416,0.405870414627046,0.465020717,1.63821023499613,0.505136484,0.17918649,0.166260006,1.22876690142512,2.77258872223978,2.77258872223978,4.11903717481247,0.916290731874155,1.6094379124341,7.01256564333448,0.955511445027436,"Invertivore",25.13,2.30856716467159,0,"4"
"57","Cyprinella lutrensis",0.509870558,0.32721418,0.365213527259982,0.431196217,1.49948284418831,0.458913598,0.206441166,0.192250141,1.4401934806566,2.30258509299405,2.30258509299405,3.83945231259331,0.916290731874155,1.38629436111989,6.73755990198602,0.765467842139571,"Omnivore",28.81,2.45958884180371,0,"4"
"58","Cyprinella spiloptera",0.403492845,0.553650553,0.352413412498591,0.553650553,1.54691811582035,0.471444611,0.19916508,0.171389262,1.31282086894886,2.56494935746154,2.56494935746154,3.77276093809464,0.916290731874155,1.79175946922805,8.91931939825889,0.78845736036427,"Omnivore",24.64,2.86505394991188,0,"4"
"59","Cyprinella venusta",0.490818503,0.477607597,0.363949956743534,0.52538652,1.70589018652766,0.586050109,0.215064726,0.157524414,1.30792959295982,2.99573227355399,2.99573227355399,3.63758615972639,0.916290731874155,1.6094379124341,6.13122648948314,0.767790723555711,"Invertivore",29.4,2.61958321977988,0,"4"
"60","Cyprinodon pecosensis",0.409638095,0.490224405,0.245415582806851,0.534131017,1.34799611104669,0.594863776,0.260975237,0.189877218,0.970244918545735,1.79175946922805,1.79175946922805,3.04452243772342,0.405465108108164,1.38629436111989,4.87519732320115,NA,"Omnivore",30.29,2.98061863574394,2,"1"
"61","Cyprinus carpio",0.182045455,0.307949315,0.297265549141,0.510936185,1.499876423476,0.48104781,0.258020926,0.178656382,1.29119909866918,4.79579054559674,4.82028156560504,6.04263283368238,1.53255686809814,3.63098547569503,13.696446577248,0.832909122935104,"Omnivore",24.83,2.26592110862245,0,"1"
"62","Dicentrarchus labrax",0.4338853,0.468574271,0.536137037444837,0.572333247,1.65952163407339,0.588541396,0.364789342,0.128637131,1.2477821260976,4.64439089914137,4.62986279857846,6.04263283368238,1.87180217690159,3.43398720448515,13.9115350280571,0.756121979721334,"Piscivore",21.47,1.47932922708708,0,"1"
"63","Dorosoma cepedianum",0.378720949,0.444745653,0.284726348851284,0.478791768,1.32968308710106,0.274628915,0.287958974,0.180492429,1.46208322640589,4.06044301054642,4.06044301054642,5.36363683266868,1.09861228866811,2.39789527279837,12.5537656221004,0.559615787935423,"Omnivore",28.06,3.19867311755068,0,"1"
"64","Dorosoma petenense",0.416666667,0.521677715,0.198922956965698,0.540722766,1.38261849087935,0.422007702,0.248845828,0.182166943,1.30576195022797,3.13549421592915,3.13549421592915,4.5485998344997,1.09861228866811,1.6094379124341,9.46506010672514,0.598836501088704,"Invertivore",28.86,3.12015985192904,0,"1"
"65","Erimystax insignis",0.482116533,0.211963876,0.235066908727158,0.543456047,1.87927972148259,0.71192245,0.315612141,0.173948317,1.44029884515907,NA,2.32238772029023,3.97217692824789,0.693147180559945,1.25276296849537,6.31173480915291,0.98394938034797,"Invertivore",24.54,2.30956070673047,1,"1"
"66","Esox americanus",0.372370968,0.640558211,0.844621470907075,0.744244822,2.00824021245145,0.681281248,0.155782649,0.088356048,1.17478782538875,3.68887945411394,3.6988297849671,5.03695260241363,1.09861228866811,2.19722457733622,7.77737360265786,1.08180517035173,"Piscivore",27.49,2.04769284336526,0,"1"
"67","Esox lucius",0.279515059,0.485175825,0.870242317132363,0.620001726,2.05096252644342,0.673753952,0.130070594,0.102102069,1.39145550348183,5.01727983681492,4.97327950755249,6.17170059741091,1.54115907168081,3.34392131384243,12.3044406454337,1.3244189574018,"Piscivore",19.78,1.97823903617067,0,"1"
"68","Esox masquinongy",0.294387285,0.446873451,0.839036566965451,0.566998037,2.02799550260109,0.546651367,0.072206675,0.091179772,1.31475366024182,5.21493575760899,5.21493575760899,6.56877991214281,1.6094379124341,3.68887945411394,12.3473964111025,1.38629436111989,"Piscivore",24.2,2.61812549357422,0,"1"
"69","Etheostoma asprigene",0.514634511,0.484007041,0.356473326015205,0.59948383,1.69089227881769,0.580929901,0.416156702,0.214599498,1.02580500440687,2.07944154167984,2.09186406167839,3.78418963391826,0.693147180559945,1.38629436111989,5.34710753071747,0.72270598280149,"Invertivore",29.11,3.63521492952824,0,"2"
"70","Etheostoma blennioides",0.397856401,0.166635401,0.291270366816251,0.594983726,1.92285366177096,0.690483337,0.508732519,0.284115291,1.14471566602133,2.89037175789616,2.89037175789616,4.15888308335967,0.916290731874155,1.79175946922805,7.09090982207998,1.04027671165515,"Invertivore",24.16,2.19833507162025,0,"4"
"71","Etheostoma caeruleum",0.44752457,0.422691676,0.386369008002858,0.603726159,1.5911370745994,0.480023999,0.393179235,0.268192561,1.34899327498314,2.19722457733622,2.16332302566054,3.76120011569356,0.693147180559945,1.79175946922805,6.60665018619822,0.896088024556636,"Invertivore",24.62,2.35517754311322,0,"2"
"72","Etheostoma camurum",0.372253099,0.432487009,0.352591320486643,0.608106245,1.66651185876232,0.592744214,0.415574302,0.218392207,0.944436477969518,2.19722457733622,2.24070968927596,4.12713438504509,0.693147180559945,1.38629436111989,4.61512051684126,1.06471073699243,"Invertivore",23.62,3.29990266351057,0,"2"
"73","Etheostoma chlorobranchium",0.343838081,0.441680504,0.353831081291948,0.689274372,1.62629831091107,0.569112834,NA,NA,0.981176572939177,2.484906649788,2.39789527279837,4.0517849478033,0.693147180559945,1.79175946922805,5.99396142730657,0.883767540168595,"Invertivore",21.15,1.64287268852034,2,"4"
"74","Etheostoma cinereum",0.472336874,0.263171801,0.351094912982982,0.617802482,1.81528473227571,0.644889811,0.459476651,0.192192718,0.977093104668419,NA,2.56494935746154,4.11903717481247,0.916290731874155,1.66770682055808,5.01727983681492,1.11514159061932,"Invertivore",25.38,2.58248697812686,1,"3"
"75","Etheostoma exile",0.507950352,0.375217039,0.351455037501055,0.573609863,1.8579075780341,0.650242996,0.474544328,0.247037081,1.39334372635706,2.07944154167984,2.10413415427021,3.80666248977032,0.693147180559945,1.6094379124341,7.08924315502751,0.717839793150317,"Invertivore",21.6,1.52822785700856,0,"1"
"76","Etheostoma flabellare",0.3877,0.374191108,0.318453731118535,0.506646762,1.62662631385284,0.540387187,0.43230975,0.249783058,1.20275935128951,2.19722457733622,2.24070968927596,3.94158180766969,0.916290731874155,1.79175946922805,7.14361760270412,1.23837423104327,"Invertivore",24.45,2.01356879752913,0,"4"
"77","Etheostoma jessiae",0.429079965,0.302096265,0.426617082795482,0.613665657,1.91617996634183,0.704166436,0.429129469,0.248874595,1.3482130185174,2.07944154167984,2.05412373369555,3.58351893845611,0.693147180559945,1.38629436111989,6.08904487544685,0.936093359170335,"Invertivore",25.5,3.51779452924597,1,"2"
"78","Etheostoma kennicotti",0.426221506,0.427330317,0.418747342068147,0.564497738,1.73911931279029,0.58399095,0.423174208,0.225814835,1.18699632560109,2.19722457733622,2.23001440015921,3.43398720448515,0.693147180559945,1.38629436111989,4.87519732320115,1.14740245283754,"Invertivore",25.5,2.15292431843964,0,"4"
"79","Etheostoma nigrum",0.435857143,0.381173652,0.355852383228411,0.603186296,1.78554326309017,0.5100017,0.440641469,0.220234173,1.29199741534555,2.07944154167984,2.10413415427021,3.85014760171006,0.693147180559945,1.6094379124341,6.58479139238572,0.799756915618204,"Invertivore",24.2,2.28645571106416,0,"4"
"80","Etheostoma rufilineatum",0.399897848,0.410569315,0.441986983956151,0.62301357,1.71823785631164,0.568183321,0.488740807,0.208174842,0.838078853343006,2.19722457733622,2.24070968927596,4.00733318523247,0.693147180559945,1.6094379124341,5.18178355029209,1.06471073699243,"Invertivore",25.15,2.79177841663292,0,"2"
"81","Etheostoma swannanoa",0.392765092,0.301493234,0.296573020822777,0.570765282,1.64977075329021,0.515982268,0.429234718,0.236674803,1.10051213980749,2.36085400111802,2.30258509299405,4.06044301054642,0.916290731874155,1.6094379124341,4.79579054559674,1.11514159061932,"Invertivore",28.24,2.12704052047911,0,"2"
"82","Etheostoma tennesseense",0.386298608,0.432656699,0.267693172888,0.669084316,1.62673146423919,0.563901225,NA,NA,1.31794857594171,NA,NA,NA,NA,NA,NA,NA,NA,24.93,2.27006190128849,12,NA
"83","Etheostoma vulneratum",0.353451399,0.501845334,0.277044528619355,0.65168402,1.6788338246359,0.573434521,0.483196461,0.205470504,1.02348520164961,2.2082744135228,2.19722457733622,3.80666248977032,1.09861228866811,1.6094379124341,4.52720864451838,1.38629436111989,"Invertivore",22.63,1.83098018238134,0,"4"
"84","Etheostoma zonale",0.34132,0.411331402,0.310425225103701,0.629249415,1.65911204502639,0.5576203,0.410796087,0.227598296,1.30736888846099,2.19722457733622,2.17475172148416,3.78418963391826,0.916290731874155,1.6094379124341,5.05305600998021,0.792992515529661,"Invertivore",24.56,2.3494686788929,0,"2"
"85","Fundulus catenatus",0.510178052,0.358459621,0.245688373785498,0.522369984,1.76248012024748,0.572009724,0.375528571,0.150958363,1.04288951791693,3.04452243772342,3.04452243772342,4.44265125649032,0.693147180559945,1.79175946922805,4.92362391710663,1.09861228866811,"Invertivore",26.38,2.42833629829961,0,"1"
"86","Fundulus diaphanus",0.538680769,0.479214184,0.158714972719402,0.58715416,1.73865159685765,0.594206939,0.424298036,0.167607131,1.12802935562296,2.63905732961526,2.39789527279837,3.71357206670431,0.916290731874155,1.38629436111989,4.96284463025991,0.896088024556636,"Invertivore",22.29,2.2523438765573,0,"2"
"87","Fundulus notatus",0.563897857,0.681734649,0.251870978156066,0.608912781,1.60163364581289,0.516458401,0.397410717,0.162060352,1.10550651114135,2.19722457733622,2.19722457733622,3.89182029811063,0.693147180559945,1.38629436111989,4.56434819146784,0.810930216216329,"Omnivore",28.86,2.58173083442354,0,"2"
"88","Fundulus zebrinus",0.445132448,0.558563407,0.169939818463814,0.659712906,1.6626946724009,0.578589273,0.412253291,0.135350486,0.999952754165707,2.19722457733622,2.19722457733622,3.89182029811063,1.09861228866811,1.38629436111989,4.18965474202643,0.810930216216329,"Invertivore",27.95,1.9213246735827,0,"1"
"89","Gambusia affinis",0.580510957,0.635737221,0.279256140781555,0.544961563,1.64549284980301,0.545043593,0.464943633,0.203100698,1.05602647147124,2.07944154167984,1.79175946922805,3.13549421592915,0.0953101798043249,1.09861228866811,5.30494535283826,1.05779029414785,"Invertivore",28.62,2.34755845863678,0,"5"
"90","Gambusia holbrooki",0.536846012,0.57047554,0.246931601936123,0.510377053,1.43958110242121,0.464835915,0.480104957,0.198412574,1.15740925420057,2.19722457733622,1.68175857401373,3.03254624667671,0.285178942233662,0.966983846189673,6.85716699917129,1.02961941718116,"Omnivore",27.3,1.66392609771817,0,"5"
